Crop_Type,SOC,N_Content,P_Content,K_Content,pH,Fertilizer_Type,Fertilizer_Amount,Temperature,Rainfall,Humidity,Carbon_Footprint
Vegetables,1.4,200.0,18.5,137.4,4.5,Ammonium Nitrate,147.1,26.9,2000.0,81.4,1171.4
Wheat,0.5,126.3,15.6,150.0,8.09,Urea,286.1,26.1,527.8,50.9,1235.5
Rice,0.5,110.2,11.4,150.0,8.34,Ammonium Nitrate,288.4,25.2,484.9,59.7,2009.6
Rice,0.93,172.3,12.4,139.5,5.69,NPK_15-15-15,385.0,28.4,2000.0,90.0,1897.3
Vegetables,0.5,185.0,32.2,150.0,7.41,Ammonium Nitrate,229.2,23.8,547.9,45.5,1296.3
Vegetables,0.5,131.2,12.3,150.0,6.14,Organic,326.2,25.0,723.7,53.2,786.4
Corn,0.5,114.8,26.4,150.0,8.2,NPK_15-15-15,190.1,31.2,536.6,51.3,1001.9
Vegetables,0.5,200.0,36.7,150.0,7.16,Ammonium Nitrate,343.6,24.9,742.3,52.4,1636.0
Soybeans,0.5,200.0,33.1,150.0,7.08,None,0.0,24.8,619.5,59.4,497.6
Vegetables,0.5,111.5,11.9,150.0,8.06,Ammonium Nitrate,229.0,27.3,550.9,51.1,1324.1
Vegetables,1.45,200.0,13.5,119.0,5.28,Urea,152.8,28.9,2000.0,74.4,1091.7
Vegetables,0.5,200.0,33.1,150.0,7.03,Urea,114.8,27.4,659.3,56.4,980.2
Wheat,0.5,118.0,27.8,150.0,8.22,NPK_15-15-15,272.7,27.7,570.5,52.3,1000.1
Vegetables,0.5,113.6,18.9,150.0,7.87,NPK_15-15-15,183.6,27.7,521.0,45.1,892.6
Wheat,0.5,142.2,16.3,150.0,7.75,Urea,250.7,26.8,709.9,55.6,1216.1
Corn,0.5,154.8,13.4,150.0,8.24,NPK_15-15-15,343.4,28.6,535.3,52.5,1274.7
Corn,0.5,83.2,11.2,150.0,8.29,Urea,438.9,28.0,364.1,51.1,1715.8
Corn,0.5,200.0,30.1,150.0,7.34,Urea,267.9,24.3,600.1,53.3,1396.7
Rice,0.5,154.0,10.8,150.0,7.6,Urea,320.6,25.2,483.1,54.9,1884.5
Soybeans,0.5,180.0,31.6,150.0,7.31,NPK_15-15-15,18.4,27.5,626.6,59.6,534.7
Corn,0.5,98.7,23.5,150.0,7.68,Urea,322.7,26.6,337.9,44.2,1443.5
Vegetables,0.57,200.0,16.2,150.0,6.8,NPK_15-15-15,232.6,24.8,838.0,62.0,1019.1
Vegetables,0.55,173.8,8.1,148.6,5.66,Organic,232.9,22.1,770.1,72.4,833.6
Wheat,0.5,181.6,23.7,150.0,8.5,NPK_15-15-15,130.9,27.8,547.1,59.8,875.6
Corn,0.5,200.0,25.9,150.0,7.51,Organic,367.8,26.0,704.4,48.4,886.6
Vegetables,0.59,138.4,21.0,150.0,8.14,Urea,238.1,26.1,665.8,50.0,1181.8
Corn,0.5,117.8,10.6,150.0,8.12,Urea,426.0,28.9,564.0,46.3,1751.0
Corn,0.58,145.4,24.1,150.0,8.09,Urea,396.1,28.4,476.2,48.5,1591.6
Rice,0.5,106.7,20.8,150.0,7.5,Urea,397.6,30.8,729.4,53.9,2114.8
Rice,0.72,126.3,11.2,150.0,6.6,Urea,268.5,24.1,717.3,71.7,1767.1
Corn,0.53,134.5,15.3,150.0,8.06,Urea,217.5,28.8,659.8,60.3,1262.3
Vegetables,0.64,200.0,23.8,150.0,7.32,Ammonium Nitrate,155.5,23.3,1203.9,73.8,1129.0
Rice,0.5,114.3,15.9,150.0,7.87,Urea,380.3,27.9,622.5,43.5,2008.1
Corn,0.5,200.0,33.1,150.0,7.07,Ammonium Nitrate,251.4,24.3,462.2,54.7,1393.0
Corn,0.5,200.0,34.0,150.0,7.33,Ammonium Nitrate,295.1,25.2,595.7,61.5,1573.0
Corn,0.73,200.0,25.1,150.0,7.16,Ammonium Nitrate,411.7,23.3,1215.9,66.7,1975.0
Rice,0.52,200.0,29.4,150.0,7.66,Urea,162.8,22.7,1035.1,63.2,1606.7
Vegetables,0.5,200.0,31.6,150.0,7.19,Organic,151.9,29.8,641.3,57.2,792.2
Vegetables,0.53,126.6,19.5,150.0,6.34,Organic,271.9,21.3,623.4,65.8,746.2
Vegetables,0.75,200.0,23.7,150.0,7.29,NPK_15-15-15,285.3,24.7,926.6,81.6,1151.3
Vegetables,1.51,200.0,8.4,118.3,5.28,Organic,157.1,26.3,2000.0,73.8,790.6
Corn,0.5,200.0,31.9,150.0,6.84,Urea,285.0,25.8,498.9,53.9,1424.0
Rice,0.5,169.8,16.8,150.0,6.72,Ammonium Nitrate,340.3,23.2,755.0,64.3,2144.6
Vegetables,2.22,38.0,132.0,197.0,5.931101816,NPK_15-15-15,242.7,20.42094753,66.93065667,81.54185044,725.3
Vegetables,0.5,200.0,34.3,150.0,7.35,NPK_15-15-15,135.8,26.3,619.6,54.3,938.8
Rice,0.61,138.5,18.3,150.0,8.07,NPK_15-15-15,316.7,29.2,752.5,50.0,1646.5
Wheat,0.5,100.1,18.1,150.0,8.4,Urea,224.9,29.4,637.9,45.3,1142.7
Rice,0.5,200.0,19.9,150.0,7.08,NPK_15-15-15,214.5,24.1,1293.5,73.2,1637.5
Corn,0.5,132.8,21.2,150.0,7.83,Ammonium Nitrate,354.9,30.8,615.9,49.8,1742.6
Vegetables,0.5,173.7,12.0,150.0,8.07,NPK_15-15-15,144.9,28.0,645.3,53.7,967.8
Vegetables,0.5,200.0,33.1,150.0,7.2,NPK_15-15-15,291.7,25.5,702.2,59.1,1113.5
Rice,0.5,164.0,25.1,150.0,8.03,Urea,416.1,26.5,762.3,55.3,2113.3
Wheat,0.5,125.2,10.3,150.0,8.12,Urea,229.9,27.5,485.6,46.4,1174.6
Corn,0.5,124.6,11.1,150.0,8.34,NPK_15-15-15,218.8,25.0,676.7,48.8,1055.3
Rice,0.5,163.4,13.3,150.0,6.14,Urea,287.0,20.6,588.8,62.9,1821.3
Soybeans,0.5,200.0,30.7,150.0,7.35,Organic,23.6,26.9,654.2,50.0,462.9
Vegetables,0.5,148.2,5.0,150.0,7.93,Urea,271.9,29.2,687.8,46.0,1253.0
Wheat,0.5,136.7,21.7,150.0,7.51,Urea,135.5,24.0,598.4,44.1,852.3
Rice,0.53,152.0,19.8,150.0,6.52,Ammonium Nitrate,244.1,25.8,710.2,72.1,1866.8
Vegetables,0.76,200.0,25.4,150.0,7.16,NPK_15-15-15,314.9,24.8,1189.6,70.3,1142.9
Rice,0.51,195.0,22.2,150.0,7.0,Urea,240.0,23.5,709.4,64.1,1737.8
Corn,0.5,192.4,24.4,150.0,7.88,Ammonium Nitrate,268.6,27.1,505.9,57.3,1558.1
Rice,0.5,139.0,14.3,150.0,7.73,NPK_15-15-15,190.5,27.8,706.8,54.3,1470.0
Wheat,0.5,107.5,11.4,150.0,7.94,Urea,244.1,24.8,603.0,51.3,1172.7
Corn,0.5,111.9,14.1,150.0,7.77,Ammonium Nitrate,264.8,25.7,657.3,49.0,1478.5
Wheat,0.5,117.8,13.1,150.0,7.77,Urea,213.1,29.2,893.2,45.4,1075.4
Wheat,0.5,131.4,24.2,150.0,7.86,NPK_15-15-15,233.7,26.5,574.5,53.2,965.2
Corn,0.55,200.0,34.9,150.0,7.08,Urea,250.5,25.4,399.4,60.9,1310.1
Soybeans,0.72,193.6,39.1,150.0,7.75,Organic,87.9,26.0,594.5,53.6,470.7
Vegetables,0.5,102.4,9.3,150.0,7.54,NPK_15-15-15,237.0,27.8,491.7,49.1,952.3
Soybeans,0.5,195.0,25.9,150.0,6.94,None,0.0,23.6,516.3,54.7,455.0
Corn,0.5,200.0,32.5,147.8,7.3,Urea,332.9,26.9,507.1,50.6,1481.1
Vegetables,1.83,32.0,14.0,37.0,6.825256236,None,0.0,22.73031253,104.6843243,88.48567856,418.2
Corn,2.02,66.0,54.0,21.0,5.919045532,Urea,293.0,25.19008683,72.12375573,60.200168700000006,1105.6
Corn,0.5,200.0,31.9,150.0,7.09,Organic,445.7,23.8,617.2,53.1,924.7
Vegetables,0.5,200.0,31.3,150.0,7.36,Organic,137.4,25.5,455.4,60.4,730.3
Vegetables,0.54,200.0,31.0,150.0,7.38,Organic,178.4,27.7,590.2,58.5,766.1
Vegetables,0.5,127.1,18.0,150.0,8.16,Ammonium Nitrate,259.8,26.8,502.6,47.6,1441.3
Vegetables,0.5,175.0,28.6,150.0,7.15,NPK_15-15-15,228.3,27.3,519.7,47.7,1003.0
Vegetables,0.51,200.0,24.2,150.0,7.21,Ammonium Nitrate,253.8,27.8,505.1,50.7,1387.0
Rice,0.56,91.5,13.2,150.0,7.94,Ammonium Nitrate,442.4,28.0,664.0,45.6,2454.5
Rice,0.56,147.2,11.6,150.0,6.3,Urea,422.4,24.4,615.5,67.6,2108.0
Rice,1.32,200.0,8.9,133.4,5.26,Urea,238.7,27.9,2000.0,79.5,1825.0
Corn,0.5,200.0,25.9,150.0,7.32,NPK_15-15-15,403.5,24.5,568.7,53.2,1335.0
Vegetables,1.07,200.0,8.4,108.7,4.85,NPK_15-15-15,323.7,27.3,2000.0,85.1,1284.7
Vegetables,0.5,195.0,25.6,150.0,7.19,NPK_15-15-15,254.6,27.5,597.6,44.8,1067.5
Vegetables,0.99,200.0,9.4,123.1,5.82,Organic,262.7,27.9,2000.0,86.5,926.0
Corn,0.5,195.0,32.5,150.0,7.29,Urea,362.6,23.4,578.7,50.4,1532.3
Vegetables,0.5,185.0,26.5,150.0,7.25,NPK_15-15-15,189.2,24.3,535.0,64.0,943.9
Rice,0.5,135.3,19.2,150.0,8.03,NPK_15-15-15,327.7,29.0,757.7,49.1,1695.9
Vegetables,0.54,200.0,29.5,150.0,7.17,Urea,214.3,25.0,541.0,59.6,1159.9
Corn,0.5,200.0,33.1,150.0,6.89,Urea,400.8,25.1,512.6,61.9,1687.1
Vegetables,0.53,200.0,18.0,150.0,6.82,NPK_15-15-15,232.7,23.5,931.4,65.1,1046.6
Corn,0.5,146.5,18.0,150.0,7.56,Urea,391.0,28.9,542.2,50.5,1591.2
Corn,0.5,159.6,20.8,150.0,7.94,Organic,229.7,24.9,463.6,57.8,830.2
Rice,0.7,200.0,8.4,150.0,7.96,Urea,401.1,24.9,1040.7,79.2,2136.2
Soybeans,0.5,200.0,28.9,150.0,7.19,None,0.0,23.8,682.2,62.8,491.0
Vegetables,0.55,187.9,15.0,150.0,7.09,NPK_15-15-15,315.5,22.2,803.7,78.7,1200.1
Vegetables,0.58,177.0,17.8,150.0,7.67,Ammonium Nitrate,260.4,23.9,758.6,73.9,1460.6
Corn,0.5,200.0,23.0,150.0,7.31,NPK_15-15-15,406.1,26.8,591.7,53.0,1355.0
Vegetables,2.44,35.0,63.0,76.0,7.714153037999999,Urea,319.8,17.81564548,90.82097601,17.60756635,884.7
Vegetables,0.5,164.7,17.6,150.0,6.26,NPK_15-15-15,253.0,24.1,966.4,64.7,1088.2
Vegetables,1.33,200.0,8.0,92.4,5.57,Urea,293.1,28.6,2000.0,81.7,1416.9
Soybeans,0.5,160.3,18.4,150.0,7.6,Organic,20.7,25.0,663.7,50.6,448.5
Vegetables,1.18,171.6,10.1,79.0,5.28,Organic,285.2,27.9,2000.0,88.2,888.0
Vegetables,0.54,110.8,12.8,150.0,6.94,Organic,295.3,26.0,591.2,68.4,783.5
Vegetables,2.54,4.0,20.0,25.0,5.664587011,NPK_15-15-15,130.8,28.93270187,99.9834242,47.94053996,447.9
Soybeans,0.62,141.5,24.0,150.0,7.44,Organic,82.9,23.2,613.9,73.2,505.8
Vegetables,0.52,182.4,18.3,150.0,7.09,NPK_15-15-15,205.7,23.2,685.4,69.3,1047.8
Vegetables,1.27,200.0,8.8,61.7,5.59,Urea,307.0,25.3,2000.0,73.0,1450.3
Soybeans,0.5,200.0,22.1,150.0,7.49,Organic,99.4,23.7,1069.2,63.7,519.2
Vegetables,0.62,200.0,9.2,150.0,6.67,NPK_15-15-15,149.9,24.8,601.0,74.0,932.4
Rice,1.13,191.7,5.3,150.0,5.4,Ammonium Nitrate,259.4,27.6,2000.0,79.0,1993.4
Corn,0.5,200.0,23.0,150.0,7.34,Ammonium Nitrate,334.3,25.1,666.1,57.0,1677.9
Vegetables,0.5,200.0,33.1,150.0,6.72,NPK_15-15-15,254.3,25.9,540.8,54.2,1064.6
Corn,0.5,132.5,16.6,150.0,8.12,Ammonium Nitrate,368.1,26.1,607.4,59.9,1750.7
Vegetables,0.5,190.0,19.7,150.0,6.92,NPK_15-15-15,317.6,24.6,522.3,56.1,1141.0
Corn,0.5,120.1,15.7,150.0,7.99,NPK_15-15-15,335.5,30.3,648.4,51.6,1271.8
Rice,0.59,193.2,20.4,150.0,6.33,None,0.0,22.7,847.8,70.7,1234.1
Rice,0.5,107.1,17.6,150.0,8.22,Urea,175.7,26.3,694.4,50.0,1556.7
Vegetables,0.55,200.0,19.3,150.0,7.15,Organic,208.5,23.6,809.3,68.0,824.9
Rice,0.96,200.0,18.0,150.0,7.6,Urea,157.6,21.8,1364.5,72.6,1563.1
Wheat,0.5,169.5,14.1,150.0,7.54,None,0.0,24.4,607.6,54.6,596.6
Rice,0.5,108.7,14.5,150.0,8.3,Urea,449.0,27.2,625.6,46.9,2201.6
Soybeans,0.5,200.0,28.0,150.0,7.2,Organic,41.5,25.6,671.0,54.0,505.6
Vegetables,0.68,200.0,20.9,150.0,6.86,Ammonium Nitrate,184.5,25.8,762.4,61.2,1254.2
Corn,0.51,85.7,25.2,150.0,7.76,Urea,340.8,25.7,451.8,58.1,1470.1
Corn,0.5,200.0,26.2,150.0,7.43,Urea,349.6,26.5,598.4,53.0,1527.1
Soybeans,2.78,8.0,59.0,18.0,6.216814453,None,0.0,29.50523036,187.8961851,35.72032498,2.0
Corn,0.72,119.4,11.7,150.0,8.04,Urea,445.6,29.9,643.8,49.4,1718.1
Wheat,0.5,148.0,23.3,150.0,8.24,Urea,250.0,27.8,546.6,51.8,1200.3
Wheat,0.5,156.2,22.1,150.0,7.6,Ammonium Nitrate,244.5,27.4,599.2,50.4,1333.7
Corn,0.72,183.6,17.1,150.0,7.32,Urea,391.3,23.8,826.8,69.1,1650.3
Vegetables,0.6,200.0,9.8,150.0,6.72,NPK_15-15-15,190.7,23.1,678.6,56.8,911.3
Vegetables,1.24,200.0,8.2,112.9,5.46,Organic,294.3,27.3,2000.0,86.9,887.5
Wheat,0.5,130.7,10.5,150.0,5.76,Ammonium Nitrate,201.8,25.2,746.7,68.8,1250.8
Vegetables,0.5,150.0,33.1,150.0,7.14,Urea,119.4,25.0,544.0,55.5,919.2
Soybeans,0.5,200.0,25.1,150.0,7.27,None,0.0,28.0,488.9,52.7,462.3
Vegetables,0.51,197.9,23.4,150.0,6.62,NPK_15-15-15,265.7,24.2,906.8,65.5,1158.4
Vegetables,0.5,176.0,28.0,112.0,7.31,Organic,317.2,27.6,605.5,52.1,792.6
Vegetables,1.24,185.9,11.8,137.0,5.5,NPK_15-15-15,287.1,26.7,2000.0,82.8,1187.4
Vegetables,0.5,200.0,33.1,150.0,6.87,NPK_15-15-15,202.2,27.2,540.5,56.3,998.2
Vegetables,1.67,59.0,60.0,84.0,7.690962337999999,NPK_15-15-15,135.7,19.03025305,94.70992037,18.66725565,489.5
Corn,0.53,166.1,16.7,150.0,6.36,NPK_15-15-15,409.8,24.1,667.7,66.0,1384.4
Rice,0.5,140.2,8.3,150.0,6.71,Urea,378.5,24.5,732.3,59.7,2063.3
Rice,0.58,168.7,15.3,150.0,7.94,Urea,230.4,24.5,695.5,53.4,1715.6
Corn,0.5,120.2,12.3,150.0,8.32,NPK_15-15-15,288.3,25.8,610.3,47.5,1122.8
Soybeans,0.5,200.0,25.1,150.0,7.17,Organic,39.2,23.8,558.9,67.7,510.7
Vegetables,0.51,200.0,32.5,150.0,7.49,NPK_15-15-15,286.3,27.0,556.2,53.5,1106.3
Vegetables,0.5,180.0,23.3,150.0,7.18,Ammonium Nitrate,349.7,25.0,557.5,55.5,1681.8
Vegetables,0.5,108.6,14.4,150.0,7.9,Ammonium Nitrate,234.4,26.0,605.8,55.5,1320.1
Vegetables,2.74,27.0,8.0,32.0,5.627860548999998,NPK_15-15-15,143.5,27.00648436,144.3331315,96.46168931,596.8
Soybeans,0.75,200.0,25.0,150.0,7.96,Organic,75.9,26.7,1239.2,79.7,578.0
Vegetables,0.5,150.1,11.7,150.0,7.91,NPK_15-15-15,323.4,30.0,606.2,55.1,1163.6
Corn,0.5,117.8,15.4,150.0,8.18,Urea,436.8,30.0,537.1,52.4,1718.0
Rice,0.5,197.1,23.7,150.0,6.86,Urea,155.0,24.0,890.4,67.4,1557.0
Soybeans,0.5,195.0,31.6,150.0,7.18,Organic,19.8,26.0,776.6,62.9,498.3
Vegetables,0.5,175.0,27.4,150.0,7.17,Ammonium Nitrate,257.4,20.6,492.5,51.3,1382.8
Soybeans,0.5,200.0,33.4,150.0,7.07,Organic,29.2,26.9,540.8,63.0,522.0
Corn,0.5,195.4,19.4,150.0,7.18,Urea,275.7,24.3,756.0,64.2,1376.7
Vegetables,0.5,142.3,10.3,150.0,7.9,Organic,297.9,27.9,421.8,51.2,775.4
Vegetables,1.91,7.0,20.0,12.0,6.475275337,NPK_15-15-15,139.3,16.53460397,110.0447896,94.76759975,568.9
Rice,0.5,111.4,14.0,150.0,7.41,Urea,332.0,26.1,658.1,49.2,1914.0
Soybeans,0.5,132.0,25.4,150.0,8.05,None,0.0,29.1,492.2,55.1,471.3
Corn,0.5,200.0,30.4,150.0,7.21,Urea,414.4,26.8,658.2,62.6,1696.1
Corn,0.5,153.4,14.9,150.0,8.21,Urea,339.3,27.4,594.1,48.9,1530.6
Corn,0.5,137.2,15.3,150.0,7.37,Urea,235.0,22.5,757.5,77.5,1261.4
Corn,0.5,200.0,31.6,150.0,7.05,Ammonium Nitrate,379.2,26.8,472.5,65.2,1845.8
Corn,0.5,106.1,21.1,150.0,8.19,Urea,186.4,25.8,660.9,43.1,1161.5
Vegetables,0.5,195.0,40.9,150.0,7.21,Organic,332.5,27.1,727.4,52.3,801.5
Vegetables,1.88,131.0,35.0,18.0,7.0576933660000005,NPK_15-15-15,180.1,24.49112609,64.02949379,82.24415809,719.6
Vegetables,0.5,200.0,31.3,150.0,7.2,NPK_15-15-15,155.4,25.4,663.3,58.5,945.3
Soybeans,0.5,155.0,30.4,150.0,7.13,None,0.0,25.5,666.8,57.3,451.5
Vegetables,0.5,200.0,33.1,150.0,7.32,NPK_15-15-15,107.6,25.0,600.4,55.9,863.1
Corn,0.5,200.0,27.7,150.0,7.32,NPK_15-15-15,188.1,23.0,677.5,60.7,1043.1
Soybeans,3.22,25.0,51.0,24.0,9.392694614,Organic,53.2,25.5042419,65.07981523,61.66852372,91.4
Wheat,0.6,186.7,33.8,150.0,7.25,Urea,251.8,24.5,744.6,71.5,1243.5
Vegetables,0.5,124.5,12.3,150.0,6.86,NPK_15-15-15,172.6,27.6,751.3,68.4,971.2
Soybeans,0.55,200.0,10.5,150.0,7.73,None,0.0,22.7,870.0,69.3,569.0
Soybeans,0.5,138.2,10.0,150.0,7.46,Organic,70.2,26.0,522.3,46.4,485.2
Rice,0.5,123.4,19.1,150.0,8.18,Ammonium Nitrate,362.7,28.7,632.1,47.1,2191.8
Soybeans,0.5,200.0,27.1,150.0,6.71,None,0.0,25.8,604.6,61.2,484.1
Vegetables,0.5,136.8,13.9,150.0,7.82,Organic,209.1,31.6,609.8,52.6,760.7
Soybeans,0.55,200.0,48.9,150.0,7.49,None,0.0,28.8,633.5,58.0,447.4
Rice,0.51,151.9,10.4,150.0,5.93,NPK_15-15-15,205.5,24.5,704.2,67.3,1484.3
Vegetables,1.33,195.1,7.3,128.1,5.55,NPK_15-15-15,122.5,26.8,2000.0,73.0,910.0
Corn,0.5,200.0,27.1,150.0,7.14,Urea,381.4,24.2,557.8,60.4,1651.9
Corn,0.55,164.6,15.2,150.0,7.9,Urea,321.4,26.5,593.9,54.7,1473.9
Vegetables,0.5,195.0,31.9,150.0,7.36,NPK_15-15-15,238.5,23.4,653.8,52.1,1006.8
Vegetables,0.5,200.0,36.1,150.0,7.05,Organic,270.4,28.7,619.4,49.7,781.9
Corn,0.54,200.0,32.5,150.0,7.4,Urea,386.2,26.5,514.4,56.5,1608.7
Soybeans,0.53,200.0,27.1,150.0,7.21,Urea,80.5,24.7,532.5,63.7,654.4
Rice,0.5,188.3,22.2,150.0,7.92,NPK_15-15-15,428.3,29.0,690.1,50.8,1869.7
Rice,0.5,161.3,22.7,150.0,7.68,Urea,228.5,25.7,590.3,51.7,1681.3
Corn,0.5,137.4,15.1,150.0,7.59,None,0.0,25.5,634.7,53.0,699.1
Corn,0.5,185.0,36.1,150.0,7.07,Ammonium Nitrate,363.7,24.1,592.4,57.4,1794.4
Soybeans,0.5,130.0,35.8,150.0,6.48,None,0.0,26.9,626.2,48.8,445.9
Wheat,0.5,126.2,19.9,150.0,7.32,Urea,124.0,25.6,576.4,41.9,844.1
Soybeans,3.0,55.0,66.0,22.0,7.747775262999999,NPK_15-15-15,9.4,30.91219459,66.63830637,68.79427388,94.8
Vegetables,2.04,134.0,52.0,18.0,7.994679507000001,Urea,290.3,23.9643129,76.13090645,76.59175937,1122.1
Vegetables,0.5,109.4,7.7,150.0,6.65,Organic,248.3,23.7,680.4,59.4,722.7
Vegetables,1.82,5.0,21.0,38.0,6.107054807999999,Organic,112.3,22.43377991,112.459697,90.3396556,427.5
