Crop_Type,SOC,N_Content,P_Content,K_Content,pH,Fertilizer_Type,Fertilizer_Amount,Temperature,Rainfall,Humidity,Carbon_Footprint
Corn,3.81,50.4,21.8,48.2,6.77,Urea,300.8,20.7,982.7,52.3,766.3
Wheat,3.23,49.7,23.0,59.8,7.45,NPK_15-15-15,252.6,18.1,1113.4,63.9,345.6
Wheat,1.88,68.6,58.0,77.3,6.13,Urea,183.1,27.7,651.7,55.9,595.9
Corn,1.32,93.4,56.5,50.9,7.44,NPK_15-15-15,303.3,29.9,655.5,61.6,745.1
Wheat,2.48,78.7,36.8,78.0,5.94,NPK_15-15-15,161.2,20.4,972.3,55.4,393.5
Corn,2.27,58.9,27.3,76.1,7.33,Urea,224.5,21.6,1529.4,77.1,887.0
Corn,2.48,81.5,55.5,59.6,6.97,Urea,275.4,21.8,310.7,70.9,821.8
Vegetables,2.35,66.7,24.6,88.2,5.76,Organic,236.4,15.5,200.0,90.0,216.9
Vegetables,2.6,97.0,38.4,66.6,6.61,NPK_15-15-15,272.2,20.0,757.7,60.4,510.5
Soybeans,3.36,83.3,55.3,87.0,6.36,Organic,77.0,27.5,1210.8,61.6,19.8
Rice,2.65,67.1,22.5,100.9,6.84,NPK_15-15-15,255.4,18.9,868.0,79.2,1248.9
Corn,1.36,80.8,47.4,60.2,6.24,Urea,446.3,24.0,440.7,69.7,1372.7
Wheat,3.29,107.9,42.8,77.9,6.18,Ammonium Nitrate,241.8,16.7,877.7,53.7,791.3
Rice,3.51,60.8,34.4,52.2,7.36,NPK_15-15-15,333.9,22.8,243.5,71.7,1337.9
Corn,4.72,85.1,20.1,44.3,6.33,Urea,445.9,20.6,1070.1,69.8,1041.5
Wheat,1.3,73.2,24.1,61.1,6.98,NPK_15-15-15,269.2,17.1,741.8,43.5,521.1
Corn,2.39,85.7,39.3,37.7,6.24,Urea,424.3,27.6,821.3,57.2,1169.0
Vegetables,0.53,58.6,13.6,46.2,7.57,Organic,286.5,27.9,999.5,67.3,497.5
Rice,2.64,77.8,37.0,76.8,5.93,Urea,335.2,18.5,922.0,82.4,1802.5
Wheat,1.76,102.7,43.1,54.7,5.97,Urea,233.8,22.4,660.6,73.4,712.8
Rice,3.74,51.6,49.8,79.2,7.47,Ammonium Nitrate,183.4,23.7,1211.8,58.2,1437.0
Wheat,1.58,41.8,14.0,71.0,6.09,Ammonium Nitrate,190.3,14.1,1128.9,56.5,729.4
Wheat,0.85,42.7,54.7,102.0,7.52,NPK_15-15-15,200.5,16.2,229.0,74.6,512.5
Corn,1.82,45.7,60.4,75.5,7.02,Urea,374.3,30.2,769.4,35.9,1224.3
Vegetables,0.62,89.9,41.2,87.3,6.29,NPK_15-15-15,348.0,18.0,471.9,55.3,739.8
Soybeans,2.8,39.9,19.4,73.0,5.13,Organic,68.8,30.0,406.2,81.9,91.6
Vegetables,0.55,67.6,30.1,71.2,6.39,Ammonium Nitrate,301.1,16.5,1037.3,68.6,1368.4
Vegetables,2.22,90.5,34.3,88.3,6.47,Organic,281.5,26.9,703.3,55.9,207.2
Wheat,0.54,85.4,39.1,78.4,7.22,Urea,297.5,21.9,800.0,50.6,1044.6
Vegetables,1.94,65.4,35.3,69.2,7.51,Organic,192.5,22.6,615.6,75.1,339.9
Corn,3.51,79.8,39.2,69.1,5.92,Ammonium Nitrate,420.0,33.2,979.6,65.9,1420.2
Corn,2.49,77.7,33.6,75.8,6.96,Urea,341.8,17.0,1087.4,62.4,977.0
Corn,1.51,69.4,39.0,51.6,6.94,Ammonium Nitrate,355.3,26.6,1609.6,69.5,1524.5
Rice,2.18,69.7,28.1,50.7,7.15,Ammonium Nitrate,271.8,26.4,786.7,67.0,1920.7
Rice,2.21,130.9,29.9,93.5,6.75,Ammonium Nitrate,411.4,38.0,343.1,66.1,2325.2
Rice,2.58,95.2,26.4,102.3,5.04,NPK_15-15-15,381.8,17.9,673.6,49.1,1399.4
Soybeans,1.11,137.0,63.8,46.4,6.29,Organic,78.6,20.2,1146.5,52.7,327.9
Rice,2.67,62.6,57.0,51.6,5.59,Urea,349.2,27.7,579.6,74.0,1875.8
Rice,0.5,72.9,43.3,87.9,6.26,Ammonium Nitrate,240.0,22.5,331.3,71.7,1960.1
Wheat,1.7,41.7,54.9,75.7,7.09,Ammonium Nitrate,266.1,21.1,586.9,69.6,1012.7
Corn,1.81,54.8,47.0,78.5,6.61,Organic,235.4,28.5,663.3,58.0,392.7
Soybeans,2.71,122.5,37.7,82.9,7.2,Organic,43.4,22.1,471.1,74.2,64.0
Corn,2.22,61.9,12.4,60.2,6.64,Urea,443.7,18.9,926.1,60.6,1282.4
Vegetables,1.08,123.0,31.1,71.6,5.49,NPK_15-15-15,307.5,27.3,822.3,80.6,676.0
Soybeans,1.41,43.9,30.0,70.0,4.64,Organic,10.7,25.5,1126.4,56.0,215.4
Corn,2.36,48.7,18.0,47.8,6.5,Ammonium Nitrate,354.7,21.9,693.9,58.7,1339.3
Corn,2.14,66.5,12.7,71.3,6.25,NPK_15-15-15,200.1,21.6,1045.3,63.2,487.6
Soybeans,1.74,73.4,42.4,89.8,5.72,NPK_15-15-15,76.9,18.7,677.7,75.2,225.3
Soybeans,1.82,98.1,39.9,58.3,5.21,Organic,91.1,27.3,454.6,64.6,138.4
Soybeans,2.76,86.3,17.5,68.1,5.89,Organic,0.1,21.6,659.9,65.5,54.5
Soybeans,1.79,64.6,23.8,69.1,6.26,Organic,51.3,19.5,283.6,60.3,96.7
Corn,2.13,71.7,52.4,59.3,6.87,Urea,185.5,16.8,1475.9,68.2,731.0
Rice,3.94,67.0,21.8,78.5,6.53,Urea,198.5,25.5,899.9,64.2,1332.7
Corn,1.06,52.1,37.6,51.4,7.53,Ammonium Nitrate,387.8,20.9,571.6,55.6,1522.2
Vegetables,0.72,52.8,32.2,91.7,5.68,Ammonium Nitrate,274.4,13.0,717.8,66.5,1208.1
Wheat,2.83,100.7,42.6,77.5,7.02,NPK_15-15-15,224.3,17.2,200.0,66.8,257.4
Rice,1.66,29.3,22.2,46.3,6.43,NPK_15-15-15,211.3,22.3,1352.0,90.0,1414.0
Corn,1.95,115.4,36.4,99.0,6.89,Urea,278.7,22.4,1317.8,57.7,978.8
Rice,1.58,66.4,37.5,68.4,6.09,NPK_15-15-15,355.8,22.2,887.6,54.9,1507.0
Rice,1.99,55.7,38.5,50.5,7.15,None,0.0,21.5,961.8,68.3,1155.4
Soybeans,3.48,93.5,36.2,87.1,6.61,Organic,41.1,15.8,406.3,53.1,-48.6
Wheat,2.84,112.1,40.2,74.9,5.92,NPK_15-15-15,130.6,19.0,431.8,52.1,225.9
Vegetables,2.89,102.9,67.9,29.6,6.39,Organic,191.5,29.7,255.9,47.8,139.4
Wheat,1.07,87.5,73.4,54.5,6.23,Urea,132.4,28.9,793.6,55.7,665.6
Corn,1.28,102.2,25.4,70.6,6.74,None,0.0,26.5,1221.4,56.0,408.5
Soybeans,0.5,32.1,5.0,21.8,5.57,Organic,17.4,26.0,715.9,49.6,313.8
Soybeans,1.55,62.0,43.9,66.7,6.38,NPK_15-15-15,37.2,28.2,971.7,62.0,322.7
Wheat,2.97,52.2,37.8,68.2,6.68,Urea,121.7,17.7,1192.6,36.6,344.5
Soybeans,2.61,105.6,50.9,41.3,6.42,None,0.0,23.7,281.6,70.9,49.3
Wheat,2.02,65.4,39.3,70.4,7.34,NPK_15-15-15,297.6,17.7,1495.9,58.3,526.9
Wheat,2.18,96.1,35.9,65.1,6.94,Urea,277.8,17.8,1255.1,60.1,870.5
Rice,1.65,88.4,51.9,41.2,6.39,Urea,248.4,25.4,1029.9,72.0,1756.8
Corn,2.36,53.4,54.0,83.4,6.55,Urea,446.3,28.4,1173.4,69.5,1289.1
Corn,2.81,60.3,14.2,81.8,6.61,None,0.0,22.5,1189.9,57.4,199.9
Corn,0.91,107.3,22.8,59.2,6.68,NPK_15-15-15,204.5,32.1,952.4,70.4,774.8
Wheat,2.44,55.6,33.4,61.0,5.12,NPK_15-15-15,226.9,24.6,1349.9,83.6,476.7
Rice,2.95,78.1,36.5,79.5,6.19,Urea,228.5,19.5,691.6,52.9,1456.9
Wheat,1.87,55.4,31.6,61.0,5.36,NPK_15-15-15,260.7,17.8,1011.6,74.0,529.3
Vegetables,2.76,67.2,41.5,26.4,7.29,Organic,236.0,28.8,1312.6,51.6,229.0
Corn,4.45,73.8,49.9,74.7,6.36,Ammonium Nitrate,364.7,24.2,200.0,79.1,1071.7
Rice,2.12,55.4,60.8,48.7,6.26,NPK_15-15-15,201.2,27.0,1003.3,56.5,1344.5
Soybeans,2.51,51.0,43.7,57.2,7.03,None,0.0,10.0,1103.6,56.0,39.7
Corn,1.61,82.2,22.2,94.2,6.7,Urea,283.6,24.8,252.0,78.8,993.8
Corn,2.35,53.9,32.8,62.3,5.61,Urea,338.9,20.8,948.6,73.7,1041.3
Rice,2.57,54.7,33.9,65.0,6.35,Urea,423.9,16.3,572.2,56.9,1903.5
Corn,2.36,51.5,42.7,75.2,6.17,Ammonium Nitrate,447.4,23.2,988.9,66.5,1640.0
Vegetables,1.38,73.1,40.8,75.1,5.18,Ammonium Nitrate,269.9,29.2,816.8,56.5,1203.7
Soybeans,2.37,98.6,65.8,46.6,5.92,None,0.0,35.3,518.8,45.9,99.1
Wheat,3.37,112.7,28.1,63.8,6.27,Urea,119.3,24.8,1238.4,67.3,403.4
Vegetables,2.56,56.9,40.8,65.7,6.32,NPK_15-15-15,191.5,19.8,703.6,60.7,377.1
Soybeans,2.97,128.8,70.3,70.4,5.36,NPK_15-15-15,99.4,19.5,944.5,53.6,112.7
Corn,2.01,49.9,26.2,70.8,7.21,NPK_15-15-15,311.1,28.5,1309.9,80.7,717.3
Vegetables,2.8,102.1,37.2,116.7,6.33,Urea,147.9,18.3,529.2,54.1,473.7
Wheat,2.42,57.0,20.8,41.5,6.43,Urea,197.4,26.7,852.8,66.7,678.7
Soybeans,1.44,53.2,36.2,84.6,6.68,Organic,2.5,25.0,676.6,78.0,200.8
Vegetables,2.45,56.4,23.3,88.7,5.85,Organic,235.7,24.5,754.7,61.9,299.4
Rice,1.41,73.7,50.7,74.9,6.72,Urea,360.4,15.3,1604.6,56.2,2005.0
Corn,1.69,89.5,37.2,52.0,6.14,Urea,374.7,21.6,1009.9,68.6,1198.2
Corn,2.35,91.7,21.0,98.3,5.77,Ammonium Nitrate,445.9,15.9,959.8,70.5,1613.7
Rice,2.44,51.4,47.6,21.2,6.8,Urea,193.3,20.4,1033.4,75.5,1563.4
Soybeans,1.25,50.3,37.7,51.3,7.44,Ammonium Nitrate,7.2,28.3,1000.6,87.5,293.4
Vegetables,3.04,52.1,49.3,88.4,6.91,Organic,279.6,29.9,211.0,59.5,172.9
Corn,2.66,72.2,17.8,57.6,7.05,None,0.0,24.6,1653.9,67.4,305.5
Wheat,1.64,69.7,40.5,96.9,6.04,Urea,260.6,20.5,337.5,49.8,798.7
Rice,0.97,51.2,46.6,34.8,5.28,Urea,421.2,31.8,1456.4,73.0,2265.8
Corn,2.08,81.7,28.6,42.8,7.44,Urea,392.7,20.5,1066.3,67.2,1305.2
Corn,1.84,131.6,16.1,54.4,7.84,Urea,228.9,17.6,913.3,62.9,855.9
Rice,2.29,62.4,34.4,73.3,7.48,NPK_15-15-15,418.8,27.1,743.1,57.6,1563.9
Vegetables,1.91,64.2,53.4,60.6,6.16,Organic,178.3,25.9,1761.8,60.8,360.0
Rice,0.59,89.0,51.9,55.2,5.59,Urea,206.8,20.7,1061.6,67.8,1671.8
Wheat,1.89,61.0,28.6,93.4,5.65,NPK_15-15-15,121.4,24.0,856.2,53.4,353.2
Soybeans,1.96,91.7,15.8,95.3,5.22,None,0.0,25.8,662.7,61.3,141.2
Rice,2.71,57.0,28.5,56.7,6.32,Ammonium Nitrate,326.7,24.6,620.7,65.2,1946.3
Vegetables,1.64,120.8,28.0,30.8,7.52,Organic,266.9,25.9,867.7,46.5,314.4
Vegetables,3.54,83.6,41.7,21.9,6.3,NPK_15-15-15,187.4,20.9,524.3,52.4,318.3
Rice,0.67,59.5,33.4,69.8,6.61,Urea,289.2,26.2,1087.9,57.1,1893.1
Wheat,3.25,60.3,23.7,78.1,7.36,Urea,230.6,23.6,624.0,83.8,610.9
Rice,2.02,62.2,51.6,66.3,6.12,Urea,409.2,21.0,1201.7,55.0,2029.7
Rice,2.89,109.3,37.1,63.6,7.82,NPK_15-15-15,417.5,22.2,1193.9,64.3,1479.6
Corn,2.26,43.3,41.5,48.9,7.79,Urea,395.6,23.0,830.6,52.5,1212.0
Wheat,3.11,58.3,9.1,78.1,6.31,NPK_15-15-15,108.9,16.0,1053.1,55.7,194.0
Wheat,1.89,61.0,5.0,98.6,6.0,None,0.0,20.2,1070.6,47.7,185.1
Corn,1.32,74.6,13.4,20.7,6.89,Urea,237.2,23.8,338.2,73.0,879.9
Rice,3.34,68.2,27.8,63.4,6.16,Urea,152.6,16.5,1456.1,49.1,1324.7
Vegetables,2.11,37.7,43.6,45.6,5.59,Organic,167.1,20.3,760.5,75.9,285.3
Corn,2.38,65.0,5.0,35.2,7.3,Ammonium Nitrate,348.4,35.9,1093.5,70.6,1343.6
Corn,3.19,72.5,58.9,42.4,7.25,NPK_15-15-15,247.6,17.6,1103.3,64.1,501.7
Wheat,1.37,59.3,37.6,72.6,6.51,NPK_15-15-15,123.5,21.5,200.0,76.3,433.3
Vegetables,2.68,92.2,55.4,73.1,5.52,Organic,329.8,19.2,620.1,90.0,234.2
Corn,1.73,98.0,21.7,94.2,5.54,Urea,211.5,22.9,1144.1,70.7,938.7
Wheat,2.09,73.0,42.6,65.2,6.48,Ammonium Nitrate,109.3,19.3,871.8,51.6,476.8
Soybeans,2.26,80.8,36.3,29.8,6.05,NPK_15-15-15,19.0,22.2,1091.1,82.9,148.7
Corn,1.0,21.0,47.3,60.2,6.16,Urea,247.1,19.8,882.3,67.2,992.7
Soybeans,1.58,64.5,31.5,37.3,7.12,Organic,52.1,29.0,1280.3,90.0,273.5
Rice,3.28,100.1,42.1,40.9,6.91,NPK_15-15-15,433.8,23.9,889.9,58.9,1452.4
Wheat,2.91,64.4,51.5,76.6,7.36,Ammonium Nitrate,171.0,18.3,1348.4,80.4,575.3
Wheat,2.15,56.6,25.2,68.9,5.71,Urea,226.9,27.9,507.0,65.0,657.2
Wheat,2.39,131.9,38.6,76.8,6.16,Organic,252.9,18.5,805.3,90.0,185.1
Corn,1.96,120.5,6.7,57.9,6.93,Urea,421.2,15.4,642.3,61.6,1251.6
Soybeans,3.29,86.7,45.5,80.8,6.71,None,0.0,23.5,986.0,90.0,12.1
Rice,2.04,103.5,64.3,56.7,7.47,Urea,363.8,33.4,752.5,70.3,1982.8
Corn,2.39,19.4,16.3,87.3,6.69,Urea,312.7,14.0,769.7,75.2,937.1
Corn,3.12,55.3,33.6,71.9,7.69,Urea,202.7,16.6,603.3,85.4,685.2
Wheat,1.58,63.3,48.2,60.9,6.78,NPK_15-15-15,265.7,27.4,688.7,55.5,566.4
Wheat,3.45,69.1,35.5,69.2,7.14,Urea,147.9,20.2,846.4,76.6,382.0
Corn,0.98,62.8,37.5,64.6,6.17,Urea,399.1,26.7,200.0,61.5,1296.1
Wheat,3.5,11.2,29.1,96.9,6.41,Urea,261.7,19.1,200.0,66.8,548.4
Corn,1.9,84.7,28.6,69.9,7.04,Organic,331.6,24.2,870.7,66.0,369.7
Wheat,2.01,88.6,33.7,65.0,7.53,Urea,153.9,32.6,200.0,71.9,625.9
Corn,0.69,115.0,35.6,60.2,6.91,Urea,250.0,17.3,782.4,71.4,1055.4
Wheat,1.84,55.3,17.3,81.9,6.34,NPK_15-15-15,111.1,28.8,718.0,58.1,361.4
Rice,1.37,53.2,34.0,79.2,7.36,Urea,305.1,27.0,1039.7,66.5,1872.8
Vegetables,1.71,10.0,58.5,59.5,4.87,Organic,162.5,15.8,614.8,37.0,255.0
Corn,2.09,67.7,28.7,41.9,5.4,NPK_15-15-15,337.6,26.4,1399.3,76.9,727.9
Rice,2.97,97.5,16.4,47.0,6.88,NPK_15-15-15,408.5,23.9,1146.9,85.3,1498.6
Corn,2.37,59.7,32.7,61.3,6.41,Urea,323.0,24.0,320.7,67.3,1009.2
Vegetables,2.45,128.6,24.3,92.0,6.82,Organic,321.2,25.2,750.5,45.7,288.5
Vegetables,1.32,68.6,14.9,60.0,6.45,Ammonium Nitrate,185.4,21.7,1384.5,73.9,992.5
Rice,1.5,78.7,37.1,53.1,6.8,Urea,400.5,23.9,605.8,55.8,2032.9
Wheat,3.64,40.9,24.3,29.8,5.83,NPK_15-15-15,196.7,24.8,831.5,67.2,291.9
Soybeans,1.61,82.2,25.6,95.3,6.8,Urea,10.2,27.4,1341.4,73.2,247.2
Wheat,3.52,25.5,37.3,76.4,7.1,Ammonium Nitrate,296.5,15.6,660.8,71.6,837.7
Wheat,2.01,92.3,12.0,80.9,7.25,NPK_15-15-15,259.6,30.2,1243.0,78.0,644.8
Corn,2.2,93.1,8.9,84.2,7.81,Urea,446.0,17.5,531.5,66.8,1362.3
Corn,3.06,109.0,45.1,61.7,6.57,NPK_15-15-15,270.6,27.5,200.0,67.1,467.5
Vegetables,3.22,49.5,6.0,66.7,6.59,Organic,208.1,23.9,1280.0,73.8,163.6
Vegetables,2.11,79.0,20.3,94.8,5.33,NPK_15-15-15,342.5,16.8,1003.6,64.1,565.1
Wheat,1.89,89.1,8.0,68.6,6.03,Urea,259.0,26.2,1026.6,56.7,878.3
Rice,2.16,86.1,27.7,76.8,6.26,Ammonium Nitrate,435.0,18.6,467.5,70.4,2252.6
Rice,2.47,53.4,41.4,82.4,7.14,Urea,365.9,29.1,495.3,51.5,1876.1
Soybeans,2.91,15.2,36.7,77.9,5.97,Urea,24.7,19.8,1252.7,64.0,53.6
Vegetables,2.2,83.7,70.9,62.4,6.96,NPK_15-15-15,208.1,15.7,935.1,48.5,478.1
Vegetables,2.7,71.2,51.3,64.3,6.4,None,0.0,31.5,808.9,58.3,264.7
Soybeans,3.51,60.8,21.0,80.6,6.28,Ammonium Nitrate,16.9,24.4,927.3,58.8,-49.2
Wheat,2.51,94.1,17.0,80.5,6.57,Urea,184.8,28.0,1378.0,53.2,620.5
Corn,2.45,73.9,75.6,88.4,6.13,Urea,440.7,19.1,1103.3,78.2,1300.6
Corn,0.98,42.0,50.9,76.0,6.1,Ammonium Nitrate,399.6,13.7,683.9,77.2,1534.4
Vegetables,0.5,26.7,43.8,76.9,5.21,Organic,265.2,32.2,358.8,80.8,470.3
Wheat,2.51,46.8,36.1,56.1,6.23,Organic,280.5,23.5,1055.8,62.7,254.0
Corn,2.12,134.8,39.1,53.4,6.06,Urea,423.5,26.1,526.6,59.8,1252.6
Corn,1.79,93.1,12.8,80.6,6.04,Ammonium Nitrate,252.4,26.9,436.2,74.6,1140.4
Wheat,2.39,79.7,37.4,53.5,6.69,Ammonium Nitrate,156.2,21.8,1310.5,66.5,621.4
Corn,2.15,70.5,36.1,64.6,6.86,Urea,400.4,24.7,1155.3,66.5,1265.9
Corn,3.1,68.8,21.4,92.6,6.56,Urea,229.4,31.8,985.0,34.5,744.6
Wheat,2.27,104.2,26.9,89.4,7.1,None,0.0,23.3,416.6,74.1,153.1
Wheat,1.6,62.7,57.7,71.0,6.8,Ammonium Nitrate,160.7,28.4,1476.2,72.5,719.3
Wheat,2.99,89.4,33.1,59.1,6.19,Organic,282.2,13.1,1210.1,64.9,103.1
Corn,2.03,66.3,66.1,62.5,6.08,Urea,277.9,29.3,743.7,74.8,930.8
Soybeans,2.62,123.5,8.9,82.4,6.62,None,0.0,15.6,669.7,72.2,72.9
Corn,1.82,93.6,27.2,64.3,6.8,Urea,336.1,28.7,877.5,56.6,1105.5
Rice,1.68,106.1,11.8,53.8,7.38,Urea,371.0,25.5,682.6,62.4,2057.5
Soybeans,2.27,60.4,16.9,89.3,7.23,NPK_15-15-15,59.6,23.0,1624.1,52.9,219.2
Wheat,2.21,101.5,22.6,68.6,6.02,Urea,150.5,23.0,715.1,82.5,546.8
Soybeans,2.58,67.2,39.7,53.5,6.33,NPK_15-15-15,21.0,22.2,476.2,76.7,77.3
Wheat,1.99,77.8,39.0,74.6,6.87,NPK_15-15-15,283.0,19.2,1405.9,55.2,485.5
Wheat,0.73,115.9,24.8,84.4,7.15,NPK_15-15-15,218.0,22.4,650.8,72.4,591.1
Corn,1.85,48.9,5.0,44.8,7.06,Urea,254.2,35.0,1125.3,68.3,973.7
Rice,2.84,80.1,57.2,61.0,6.36,Urea,383.1,30.3,1086.4,56.8,1915.4
Rice,1.96,86.0,30.7,60.1,5.52,Urea,442.0,19.0,829.5,66.5,2110.0
Corn,2.0,88.0,18.3,74.0,5.7,NPK_15-15-15,449.9,24.9,509.5,75.3,847.5
Vegetables,2.99,63.7,39.1,77.6,6.59,NPK_15-15-15,247.3,24.0,833.1,76.3,401.8
Rice,1.63,127.2,38.1,54.0,6.64,Urea,331.1,22.8,440.5,90.0,1948.8
Vegetables,0.97,42.6,30.2,35.1,5.63,None,0.0,18.3,841.7,66.1,395.9
Wheat,2.07,111.5,37.2,85.6,6.43,Urea,157.9,25.8,1120.5,62.1,612.7
Soybeans,1.81,105.4,17.7,42.6,6.84,NPK_15-15-15,98.2,27.9,1451.2,71.7,285.0
Wheat,1.43,122.5,46.4,70.4,5.59,Urea,262.5,19.2,469.3,62.8,861.8
Wheat,2.06,35.3,20.0,62.4,7.17,Urea,272.1,33.7,762.3,58.0,878.0
Wheat,2.59,53.3,25.9,68.2,6.14,Ammonium Nitrate,148.5,31.4,666.3,53.9,564.8
Corn,2.19,112.3,44.7,98.0,7.28,Ammonium Nitrate,407.2,26.4,945.8,30.0,1430.2
Soybeans,2.45,28.1,53.1,125.8,6.03,Organic,71.4,17.1,317.4,73.8,7.8
Rice,3.65,34.8,58.8,32.3,5.68,Urea,431.3,25.6,525.0,45.3,1893.9
Corn,1.93,62.8,50.8,84.7,6.08,Urea,239.9,25.0,257.8,54.4,814.3
Wheat,2.42,79.8,30.1,61.9,6.33,Urea,130.6,26.2,346.6,68.5,427.1
Corn,1.79,114.8,11.9,86.0,6.13,Urea,303.6,31.8,618.8,61.1,979.7
Vegetables,1.52,70.4,56.1,84.1,6.25,NPK_15-15-15,110.2,22.6,1434.8,90.0,558.3
Vegetables,1.73,59.8,55.6,93.2,6.63,Ammonium Nitrate,301.9,34.1,971.7,46.9,1173.2
Vegetables,1.82,82.8,24.9,70.7,6.28,Organic,182.5,25.6,872.7,90.0,377.3
Rice,2.49,86.7,48.8,47.2,6.35,Ammonium Nitrate,205.0,22.0,1321.4,81.6,1743.8
Corn,4.08,86.0,30.0,83.6,5.2,NPK_15-15-15,438.3,36.0,984.3,75.9,770.4
Vegetables,1.63,70.6,57.5,67.4,6.67,NPK_15-15-15,295.5,27.8,1017.2,82.3,695.0
Rice,1.87,26.1,27.3,60.3,6.34,Urea,150.8,21.1,684.4,69.9,1458.9
Vegetables,2.15,52.1,64.7,55.5,7.53,NPK_15-15-15,202.6,23.9,626.9,44.6,382.7
Vegetables,2.52,110.5,46.8,85.1,5.74,Organic,287.2,26.8,391.1,71.2,182.5
Vegetables,2.41,79.7,62.0,97.1,5.13,Organic,209.5,22.7,639.6,47.2,149.6
Rice,3.23,66.9,28.0,41.1,6.83,Ammonium Nitrate,270.1,24.2,751.8,58.7,1740.6
Rice,0.5,103.0,41.1,77.4,6.64,Urea,341.4,19.3,970.7,64.1,2023.8
Vegetables,0.5,46.7,20.5,57.6,5.69,Organic,139.5,14.7,837.1,54.1,385.1
Rice,1.8,69.4,47.7,35.7,5.33,None,0.0,24.1,722.2,76.4,1204.9
Corn,3.08,78.4,48.5,68.0,7.48,Ammonium Nitrate,390.6,24.2,530.9,62.4,1334.9
Wheat,0.95,64.0,71.0,48.3,7.39,None,0.0,26.2,989.7,69.9,355.9
Vegetables,0.5,77.5,42.2,33.4,4.66,NPK_15-15-15,117.8,20.5,675.8,64.9,581.7
Wheat,2.66,70.3,45.9,49.4,6.08,NPK_15-15-15,274.2,16.5,973.8,66.5,400.8
Wheat,2.39,40.0,27.9,44.4,7.56,Urea,104.8,18.5,200.0,54.4,326.4
Corn,1.33,79.5,43.1,52.1,6.07,Urea,267.5,29.0,967.7,50.9,963.5
Wheat,1.41,41.8,29.3,38.5,6.06,Organic,100.5,20.0,1111.4,63.2,312.4
Vegetables,1.42,79.1,36.7,57.1,6.2,Organic,313.7,21.2,1066.8,53.4,425.5
Corn,2.29,109.4,37.6,50.7,5.62,NPK_15-15-15,202.2,21.9,781.1,81.7,576.6
Wheat,1.7,68.0,29.7,72.5,5.21,NPK_15-15-15,290.8,20.3,1170.4,48.5,570.3
Vegetables,2.6,45.7,35.9,76.9,7.14,Ammonium Nitrate,107.9,19.9,404.5,90.0,529.1
Soybeans,0.5,71.8,29.4,70.2,5.11,None,0.0,19.0,818.8,68.6,323.1
