Crop_Type,Soil_Organic_Carbon,N_Content,P_Content,K_Content,pH,Fertilizer_Type,Fertilizer_Amount,Temperature,Rainfall,Humidity,Carbon_Footprint,Sustainability_Level,Carbon_Credits
Vegetables,2.18,94.2,53.6,63.5,5.84,NPK_15-15-15,245.1,20.1,1218.7,69.3,739.3,Medium,0.261
Soybeans,1.49,61.8,45.9,81.8,7.15,NPK_15-15-15,51.0,35.6,1595.5,58.7,57.7,High,0.942
Rice,2.07,74.9,36.0,63.0,4.88,Urea,339.9,26.5,1112.9,75.8,3876.0,Low,0.0
Corn,1.6,85.0,60.0,46.1,5.56,Urea,184.8,27.0,953.2,83.8,1605.8,Low,0.0
Wheat,1.66,94.6,31.0,88.5,5.73,Urea,194.2,29.6,731.1,69.0,1440.5,Low,0.0
Rice,2.08,30.6,54.8,27.4,5.45,Urea,325.5,23.6,913.7,66.2,3041.6,Low,0.0
Corn,1.57,92.9,37.6,58.4,5.29,Urea,376.3,27.6,1325.9,44.8,2745.2,Low,0.0
Wheat,1.95,69.2,19.6,64.2,6.69,None,0.0,27.2,834.4,74.0,117.2,High,0.883
Corn,0.69,92.7,62.7,65.3,6.25,Ammonium Nitrate,416.2,26.3,539.9,51.3,1482.8,Low,0.0
Vegetables,2.37,94.4,49.9,68.6,6.67,Organic,330.4,21.8,283.1,60.0,143.3,High,0.857
Rice,2.2,115.2,33.2,77.2,6.88,Urea,398.2,24.4,1029.6,76.5,3864.6,Low,0.0
Wheat,1.55,108.8,45.9,64.3,6.59,Organic,178.6,20.4,936.6,77.4,108.4,High,0.892
Rice,2.73,108.7,28.9,57.6,6.86,Urea,435.6,23.6,623.9,59.4,3057.2,Low,0.0
Wheat,2.95,111.1,47.4,56.8,6.35,Ammonium Nitrate,176.1,17.4,1209.1,60.1,899.8,Medium,0.1
Wheat,0.91,82.3,5.0,52.8,5.57,NPK_15-15-15,160.9,19.4,702.4,56.6,255.7,High,0.744
Corn,1.59,75.8,19.7,80.8,7.14,Urea,343.2,22.0,802.9,50.6,1707.6,Low,0.0
Vegetables,1.58,96.8,49.7,52.1,5.99,NPK_15-15-15,306.4,18.6,844.2,57.4,598.2,Medium,0.402
Soybeans,1.45,93.3,31.3,81.9,5.75,Organic,97.8,20.9,727.2,45.6,-139.2,High,1.139
Vegetables,2.86,67.3,38.1,65.4,6.28,NPK_15-15-15,243.8,22.6,932.6,73.2,722.2,Medium,0.278
Vegetables,2.04,85.1,14.8,54.6,5.76,Ammonium Nitrate,196.4,25.6,1253.0,69.7,1375.4,Low,0.0
Wheat,1.99,74.1,62.7,77.4,6.11,NPK_15-15-15,143.2,28.4,450.1,71.7,392.7,High,0.607
Vegetables,0.6,53.7,52.9,50.5,6.64,Organic,170.7,21.1,1021.0,53.5,-104.1,High,1.104
Corn,2.71,107.3,32.0,77.8,6.64,Urea,213.0,30.4,910.3,50.7,1586.5,Low,0.0
Corn,1.21,76.4,28.9,69.3,5.77,Ammonium Nitrate,258.6,28.4,903.8,65.6,1634.8,Low,0.0
Corn,2.25,126.2,50.4,53.1,6.06,Ammonium Nitrate,389.8,26.1,1155.1,65.8,2543.6,Low,0.0
Rice,2.42,34.4,64.7,75.6,7.15,Urea,292.5,24.3,867.3,63.2,2824.1,Low,0.0
Rice,3.29,61.1,49.3,75.9,6.75,Urea,434.2,25.2,1018.1,61.5,3852.4,Low,0.0
Rice,1.15,75.8,67.6,88.2,7.85,Urea,205.0,29.7,1100.6,85.5,3243.6,Low,0.0
Soybeans,0.5,103.4,21.2,84.3,7.23,Organic,80.3,29.9,673.5,70.1,-539.8,High,1.54
Rice,2.35,85.0,22.7,74.8,7.2,NPK_15-15-15,427.2,30.4,954.7,88.6,2444.4,Low,0.0
Rice,3.64,82.8,17.2,42.4,5.43,NPK_15-15-15,236.5,23.7,762.2,80.2,1642.1,Low,0.0
Wheat,3.19,46.8,41.6,114.0,6.93,Ammonium Nitrate,249.5,26.4,803.6,85.4,1532.9,Low,0.0
Corn,2.37,46.1,37.6,36.9,6.36,Organic,281.1,30.5,737.3,52.1,214.7,High,0.785
Soybeans,1.81,83.1,32.7,84.0,6.01,Organic,107.9,20.3,1014.9,72.1,-88.8,High,1.089
Corn,2.85,40.9,47.1,73.6,6.52,Urea,324.2,21.8,878.6,59.8,1841.1,Low,0.0
Vegetables,1.42,61.7,53.5,41.5,7.06,Organic,300.6,23.6,988.1,45.0,134.8,High,0.865
Soybeans,2.58,87.5,12.1,62.5,6.75,NPK_15-15-15,39.0,28.2,843.9,83.0,88.4,High,0.912
Corn,2.6,50.4,26.0,63.4,5.79,Urea,453.8,28.3,288.6,61.5,2112.7,Low,0.0
Corn,3.05,115.1,47.3,91.1,6.92,None,0.0,22.3,861.0,52.3,267.2,High,0.733
Soybeans,4.41,105.6,28.0,50.7,5.95,None,0.0,15.7,872.2,60.0,97.1,High,0.903
Soybeans,2.51,35.7,23.0,59.8,6.55,Organic,1.2,24.8,934.9,55.4,-49.2,High,1.049
Soybeans,1.79,51.7,50.3,18.3,6.19,Organic,46.7,18.7,642.2,56.7,-75.6,High,1.076
Soybeans,2.18,17.9,15.7,99.7,6.25,Organic,72.8,15.8,431.6,62.3,-40.7,High,1.041
Corn,0.78,55.4,30.5,43.6,6.94,Urea,463.3,16.9,1068.6,85.8,2495.8,Low,0.0
Rice,1.64,94.2,39.9,71.5,5.67,Urea,363.6,25.2,754.2,57.0,3102.4,Low,0.0
Corn,1.87,64.7,26.4,63.0,7.76,Urea,394.1,30.6,909.9,84.9,3709.2,Low,0.0
Vegetables,1.78,86.5,46.7,63.0,5.13,NPK_15-15-15,102.6,23.7,751.5,75.2,480.3,Medium,0.52
Wheat,2.32,36.9,26.5,81.2,5.98,Urea,137.8,24.6,847.9,69.8,878.1,Medium,0.122
Rice,1.54,94.9,56.1,98.4,6.66,Urea,368.5,29.7,692.8,74.0,3625.1,Low,0.0
Corn,3.1,61.1,33.1,70.0,6.81,Urea,322.4,15.5,511.2,65.2,1444.0,Low,0.0
Rice,2.2,75.3,45.1,78.1,6.33,Urea,324.1,26.2,1015.8,80.4,3541.9,Low,0.0
Rice,2.19,72.7,46.2,71.6,6.36,NPK_15-15-15,249.3,23.4,638.9,71.8,1592.5,Low,0.0
Soybeans,1.94,43.2,25.6,85.4,6.69,Organic,99.0,26.4,907.4,45.0,-85.7,High,1.086
Wheat,2.32,46.2,5.0,55.7,6.24,Urea,242.1,21.0,993.7,68.6,1455.8,Low,0.0
Vegetables,2.86,99.2,40.4,86.5,7.38,NPK_15-15-15,130.7,19.2,644.6,74.4,404.6,Medium,0.595
Wheat,1.51,85.0,36.1,87.2,6.99,Ammonium Nitrate,145.3,24.2,428.6,61.5,572.5,Medium,0.428
Corn,1.67,101.3,43.3,86.7,7.01,NPK_15-15-15,192.9,32.1,1699.1,66.5,926.6,Medium,0.073
Soybeans,1.96,83.1,31.6,51.8,5.72,Ammonium Nitrate,62.5,28.0,665.3,57.6,359.3,High,0.641
Soybeans,1.12,78.6,28.5,61.6,6.34,Organic,87.6,20.9,1068.2,48.5,-331.1,High,1.331
Wheat,1.54,31.8,65.1,69.8,6.19,Urea,268.4,16.5,1528.8,46.4,1369.4,Low,0.0
Soybeans,1.82,68.2,12.9,37.6,5.7,None,0.0,14.8,1126.5,46.6,-65.2,High,1.065
Wheat,2.9,74.3,46.0,96.9,6.65,Ammonium Nitrate,252.1,30.3,744.8,73.0,1494.5,Low,0.0
Wheat,2.41,123.8,26.4,64.8,6.02,Ammonium Nitrate,113.9,18.5,826.5,35.1,479.3,Medium,0.521
Rice,2.35,92.2,30.0,70.7,6.86,Urea,176.2,21.8,558.6,57.0,1832.2,Low,0.0
Corn,2.88,113.4,30.2,53.5,5.65,None,0.0,30.4,1158.6,55.8,333.3,High,0.667
Corn,2.09,89.9,22.9,38.5,7.6,Urea,370.8,15.1,1048.2,61.6,1820.5,Low,0.0
Corn,2.51,57.2,43.6,52.9,5.77,Urea,376.0,31.3,670.0,42.7,2123.5,Low,0.0
Wheat,2.12,77.9,55.9,69.4,6.55,Urea,257.1,22.2,485.2,69.8,1114.7,Medium,0.0
Rice,2.41,80.9,42.1,78.5,6.95,Urea,418.5,17.5,387.6,49.7,2542.6,Low,0.0
Wheat,1.73,51.5,36.6,68.2,6.0,NPK_15-15-15,235.8,22.2,1195.3,78.6,600.2,Medium,0.4
Vegetables,0.5,65.4,20.2,71.9,7.0,Urea,152.1,19.7,892.1,57.5,638.0,Medium,0.362
Corn,2.09,69.9,42.8,58.3,5.54,NPK_15-15-15,216.6,25.8,925.2,63.9,700.3,Medium,0.3
Rice,3.34,115.1,67.3,74.9,7.42,Urea,313.2,20.1,562.0,65.0,2423.5,Low,0.0
Soybeans,2.94,23.0,29.3,94.7,6.41,NPK_15-15-15,26.6,13.6,337.8,67.9,51.1,High,0.949
Corn,2.97,105.1,29.4,79.1,5.98,Ammonium Nitrate,291.8,22.4,1186.9,65.4,1778.2,Low,0.0
Corn,3.19,51.6,26.6,81.2,6.19,Urea,340.5,16.4,864.7,59.9,1674.6,Low,0.0
Rice,2.27,40.7,27.7,70.9,6.97,Urea,370.4,24.6,1167.5,69.1,3690.9,Low,0.0
Corn,2.36,104.5,5.0,34.9,5.99,Urea,366.2,17.3,714.9,70.6,1779.1,Low,0.0
Vegetables,1.71,93.3,41.1,44.1,5.88,NPK_15-15-15,201.5,21.0,767.1,55.8,463.7,Medium,0.536
Soybeans,1.95,106.4,22.3,74.1,6.24,NPK_15-15-15,3.7,24.4,1099.7,70.1,-28.9,High,1.029
Wheat,2.69,95.0,10.8,64.8,5.58,NPK_15-15-15,165.3,22.4,1106.3,79.3,502.5,Medium,0.498
Vegetables,3.16,126.5,46.3,73.8,7.67,NPK_15-15-15,336.9,24.8,1129.1,73.5,1101.1,Medium,0.0
Soybeans,2.09,89.0,18.8,98.5,6.0,Organic,47.7,27.0,746.7,76.2,-19.3,High,1.019
Corn,1.84,71.1,29.9,79.5,6.98,Urea,460.2,17.5,1065.1,67.1,2375.5,Low,0.0
Vegetables,2.2,83.6,57.0,90.2,6.55,NPK_15-15-15,266.3,23.2,1238.2,53.8,625.8,Medium,0.374
Wheat,2.68,106.1,13.9,66.9,5.71,Ammonium Nitrate,269.0,10.0,813.3,55.3,1088.7,Medium,0.0
Soybeans,1.04,55.5,12.0,48.9,6.4,None,0.0,24.8,670.3,68.8,-306.6,High,1.307
Vegetables,0.5,58.7,39.0,63.8,6.95,NPK_15-15-15,249.9,21.9,1320.0,76.3,474.3,Medium,0.526
Rice,1.76,67.3,52.2,48.9,6.27,Urea,152.0,18.4,620.9,90.0,1891.5,Low,0.0
Corn,1.22,22.4,11.4,96.2,7.24,NPK_15-15-15,216.8,25.1,1070.3,76.8,568.9,Medium,0.431
Corn,1.79,78.5,41.1,80.8,7.12,Ammonium Nitrate,280.9,29.6,829.6,51.0,1623.8,Low,0.0
Rice,2.08,27.8,43.7,75.4,7.04,Urea,293.2,21.0,205.5,55.8,2146.7,Low,0.0
Soybeans,1.84,76.3,5.0,89.7,6.08,None,0.0,18.6,1245.0,90.0,-54.5,High,1.054
Vegetables,3.36,96.6,47.0,24.6,5.64,NPK_15-15-15,145.6,24.4,200.0,62.4,471.9,Medium,0.528
Corn,2.46,63.1,48.1,76.8,5.97,Ammonium Nitrate,250.9,16.6,200.0,65.6,998.7,Medium,0.001
Wheat,2.44,116.9,30.3,38.8,6.54,Urea,110.0,20.1,1034.6,53.5,693.4,Medium,0.307
Rice,2.7,38.5,53.8,64.9,6.78,Urea,279.3,29.9,1034.5,83.8,3882.5,Low,0.0
Corn,1.29,104.8,52.0,58.8,4.88,Urea,235.7,23.8,626.8,71.0,1434.1,Low,0.0
Corn,3.03,91.9,36.5,78.2,6.39,NPK_15-15-15,218.8,13.7,901.7,55.7,515.3,Medium,0.485
Rice,2.14,32.1,28.2,69.6,6.51,Organic,326.3,14.2,200.0,53.1,1217.0,Low,0.0
Vegetables,2.74,142.8,20.4,91.9,6.21,Urea,340.7,24.3,1097.4,68.7,2402.2,Low,0.0
Rice,1.34,73.4,34.4,53.0,7.3,Urea,285.0,28.0,937.4,65.5,3089.2,Low,0.0
Wheat,0.96,53.1,43.5,79.2,6.7,Urea,245.7,15.1,834.0,75.0,1011.4,Medium,0.0
Soybeans,2.85,39.8,30.1,68.2,7.32,Organic,15.9,25.8,857.3,71.6,-16.9,High,1.017
Rice,2.5,69.5,5.0,32.3,6.25,Urea,367.6,30.4,1022.6,61.8,4034.4,Low,0.0
Vegetables,1.48,71.8,54.0,46.6,7.06,Ammonium Nitrate,134.4,33.3,839.9,58.5,852.0,Medium,0.148
Vegetables,1.5,77.6,37.9,62.0,7.54,NPK_15-15-15,300.7,25.2,200.0,63.1,483.0,Medium,0.517
Rice,3.1,67.6,29.3,87.2,7.32,Urea,232.9,26.1,1618.7,58.4,3165.6,Low,0.0
Wheat,1.25,90.8,47.9,74.3,5.64,NPK_15-15-15,129.6,12.4,1270.3,63.4,232.7,High,0.767
Rice,3.51,65.3,57.9,41.6,6.22,Ammonium Nitrate,436.5,34.4,400.3,65.2,3122.7,Low,0.0
Rice,1.48,26.6,5.0,62.2,6.16,NPK_15-15-15,168.5,20.5,729.2,54.2,1340.2,Low,0.0
Corn,2.71,71.3,41.5,105.4,6.74,Urea,222.7,18.6,767.4,72.6,1190.4,Medium,0.0
Wheat,1.94,15.8,13.6,67.2,6.88,Organic,297.2,22.2,1227.6,60.6,168.7,High,0.831
Wheat,2.68,83.8,42.5,58.5,5.81,Urea,233.9,31.4,200.0,54.9,1154.6,Medium,0.0
Corn,1.76,50.5,36.9,74.8,6.45,NPK_15-15-15,250.1,35.0,675.3,60.8,799.6,Medium,0.2
Rice,2.07,79.1,44.5,80.3,4.99,Urea,153.4,24.2,233.8,67.9,1769.5,Low,0.0
Vegetables,2.23,107.9,27.5,55.9,7.41,NPK_15-15-15,324.9,28.7,750.2,66.0,843.8,Medium,0.156
Corn,1.4,51.3,6.9,75.1,6.04,Organic,218.3,23.7,684.6,70.1,148.4,High,0.852
Corn,2.79,101.5,28.2,58.4,6.44,Urea,302.4,18.1,877.9,75.8,1692.2,Low,0.0
Wheat,1.79,64.2,41.1,79.4,6.18,NPK_15-15-15,222.4,31.2,638.3,80.7,567.9,Medium,0.432
Vegetables,2.02,118.8,50.2,68.4,7.2,NPK_15-15-15,248.0,20.3,587.1,68.4,440.5,Medium,0.56
Corn,1.4,65.9,17.4,74.6,4.5,Urea,323.3,31.5,1066.9,52.2,2739.1,Low,0.0
Wheat,0.5,54.0,50.4,49.8,6.39,None,0.0,30.3,1009.1,61.8,-88.2,High,1.088
Soybeans,2.05,92.2,25.3,48.6,6.33,Ammonium Nitrate,62.3,26.7,1043.0,52.9,242.2,High,0.758
Corn,4.13,64.1,40.4,83.9,6.08,Urea,342.0,33.0,788.1,85.4,3355.8,Low,0.0
Soybeans,2.83,54.0,27.4,63.4,7.61,Organic,69.3,35.1,649.9,88.8,37.8,High,0.962
Rice,2.18,63.1,37.7,70.7,5.78,NPK_15-15-15,266.9,22.6,808.4,72.8,1569.3,Low,0.0
Wheat,1.99,73.9,48.4,58.9,6.94,Ammonium Nitrate,102.2,19.3,1025.4,75.3,634.5,Medium,0.366
Wheat,2.22,108.6,16.6,83.0,6.65,NPK_15-15-15,151.9,13.8,200.0,68.0,204.4,High,0.796
Wheat,2.64,26.6,24.8,52.8,7.28,NPK_15-15-15,153.1,35.2,987.9,69.4,554.9,Medium,0.445
Corn,1.26,75.6,37.8,62.3,5.93,Urea,226.4,21.2,958.2,45.8,1171.4,Medium,0.0
Soybeans,3.09,90.6,71.0,80.7,5.89,None,0.0,29.4,871.8,64.1,43.9,High,0.956
Rice,2.77,79.8,22.1,88.5,7.17,Urea,182.6,19.6,797.7,54.4,1964.6,Low,0.0
Corn,2.77,107.7,65.6,54.5,6.7,Urea,273.1,31.5,200.0,68.4,1362.4,Low,0.0
Corn,2.55,73.1,65.1,104.2,5.32,Urea,333.4,19.9,696.1,64.3,1773.7,Low,0.0
Wheat,2.22,70.4,33.5,71.3,6.02,Urea,203.9,17.3,1476.3,88.4,1415.3,Low,0.0
Wheat,2.74,89.8,30.5,44.1,6.67,Urea,186.0,22.4,854.5,76.0,1109.1,Medium,0.0
Corn,2.67,77.5,24.6,72.4,6.99,Ammonium Nitrate,198.6,20.7,742.4,68.4,1040.5,Medium,0.0
Wheat,1.92,65.2,34.0,57.3,5.92,Ammonium Nitrate,160.5,26.6,855.9,61.8,865.7,Medium,0.134
Corn,1.74,87.9,13.9,73.7,4.5,Urea,361.4,23.2,974.2,85.1,2772.7,Low,0.0
Wheat,2.28,58.7,33.9,64.1,6.77,Ammonium Nitrate,226.1,26.8,1080.6,64.6,1367.1,Low,0.0
Corn,3.44,59.7,57.5,66.5,5.55,Urea,265.7,22.0,769.9,69.0,1681.7,Low,0.0
Wheat,1.21,61.8,25.8,46.8,4.99,Urea,208.1,20.0,998.7,65.5,1283.2,Low,0.0
Rice,1.03,108.8,31.4,84.8,4.5,Ammonium Nitrate,249.1,20.5,1436.8,60.2,2527.0,Low,0.0
Vegetables,2.33,10.0,9.5,41.9,6.97,Organic,123.5,34.1,1202.2,65.4,284.6,High,0.715
Corn,2.24,84.9,40.6,42.8,6.49,None,0.0,24.7,1669.1,41.5,224.2,High,0.776
Rice,2.34,75.9,39.0,72.3,6.24,Urea,381.9,13.2,620.1,46.4,2392.3,Low,0.0
Corn,2.4,33.0,36.0,97.1,7.37,Urea,439.6,20.8,1436.7,69.2,3169.6,Low,0.0
Vegetables,2.02,82.7,31.7,57.9,6.85,Urea,193.7,24.0,573.3,83.8,1101.7,Medium,0.0
Vegetables,3.39,86.9,30.6,79.0,7.53,NPK_15-15-15,348.3,33.1,973.7,69.2,1221.8,Low,0.0
Rice,0.92,89.7,42.5,86.5,5.43,None,0.0,28.8,1106.4,56.4,1206.8,Low,0.0
Wheat,1.54,10.0,34.6,81.3,6.38,Urea,226.0,18.7,671.2,47.7,886.1,Medium,0.114
Soybeans,2.12,109.2,39.7,58.8,5.27,Organic,18.5,36.1,880.8,74.4,24.2,High,0.976
Wheat,0.89,56.6,38.2,43.2,6.24,Urea,297.9,23.3,1168.7,58.2,1697.5,Low,0.0
Wheat,2.06,92.2,51.9,20.8,6.23,Ammonium Nitrate,125.2,30.0,601.4,72.7,776.8,Medium,0.223
Corn,3.53,93.5,45.2,59.7,6.84,Urea,260.5,17.5,1434.3,69.7,1831.6,Low,0.0
Corn,2.22,53.1,37.9,88.6,6.43,Ammonium Nitrate,280.7,11.0,365.4,70.7,964.2,Medium,0.036
Vegetables,2.38,91.5,57.8,42.5,6.84,NPK_15-15-15,141.6,16.2,1528.9,65.4,413.7,Medium,0.586
Vegetables,1.19,65.4,41.3,79.0,6.89,NPK_15-15-15,117.6,10.0,1200.5,69.6,200.0,High,0.8
Wheat,1.71,23.2,54.6,46.0,7.91,NPK_15-15-15,139.8,34.5,818.6,63.6,428.0,Medium,0.572
Rice,1.9,104.2,44.1,67.1,6.18,NPK_15-15-15,254.9,24.6,709.1,57.4,1582.3,Low,0.0
Rice,1.95,55.6,7.4,79.2,5.74,Ammonium Nitrate,237.4,18.7,672.5,53.4,2027.5,Low,0.0
Soybeans,3.23,53.6,54.6,51.8,6.57,Organic,101.3,25.9,802.5,36.4,29.5,High,0.97
Vegetables,2.65,64.9,37.0,68.4,5.84,NPK_15-15-15,160.6,24.5,833.0,62.8,497.3,Medium,0.503
Vegetables,1.31,81.8,34.2,56.7,7.44,NPK_15-15-15,148.8,26.7,1289.3,83.2,508.3,Medium,0.492
Soybeans,2.4,73.6,39.2,79.1,6.2,Organic,11.3,29.8,1539.0,73.8,52.2,High,0.948
Wheat,2.6,88.7,29.8,69.7,6.0,Ammonium Nitrate,202.7,22.0,919.8,67.7,1124.3,Medium,0.0
Corn,3.11,41.5,38.4,66.1,6.07,Urea,374.7,18.9,554.0,56.2,1671.2,Low,0.0
Corn,3.46,56.4,26.1,96.2,6.9,Urea,245.1,27.8,659.0,77.0,1772.6,Low,0.0
Vegetables,1.39,72.1,54.1,78.2,6.29,NPK_15-15-15,223.0,27.7,785.9,63.6,536.0,Medium,0.464
Wheat,1.55,122.4,33.3,51.2,5.95,Urea,291.5,24.0,489.5,83.9,1520.1,Low,0.0
Corn,1.19,72.2,29.3,63.3,7.57,Ammonium Nitrate,210.8,34.8,437.4,53.2,1032.5,Medium,0.0
Corn,2.01,102.1,21.1,63.5,5.8,NPK_15-15-15,276.8,21.2,1584.0,56.0,810.1,Medium,0.19
Wheat,2.57,76.0,39.0,66.6,6.42,Ammonium Nitrate,155.4,18.8,955.9,54.8,775.0,Medium,0.225
Corn,2.99,62.9,37.8,115.5,6.86,Ammonium Nitrate,396.9,25.7,558.4,47.2,1765.3,Low,0.0
Corn,2.14,68.8,40.8,72.4,5.26,Ammonium Nitrate,252.3,20.0,1135.8,53.8,1436.4,Low,0.0
Wheat,1.94,70.8,19.6,24.3,6.74,Urea,176.6,26.1,437.6,66.2,877.8,Medium,0.122
Wheat,2.32,90.1,11.0,54.1,5.66,Urea,167.5,19.2,466.4,56.5,779.4,Medium,0.221
Wheat,1.53,109.4,44.4,26.4,6.98,NPK_15-15-15,266.2,21.4,568.9,30.0,376.1,High,0.624
Corn,3.87,84.0,57.3,58.4,5.73,Urea,250.1,33.3,1429.1,77.9,3722.8,Low,0.0
Soybeans,0.91,104.7,19.6,25.3,6.88,None,0.0,21.4,761.5,44.8,-416.5,High,1.416
Corn,2.35,50.9,58.8,47.6,7.17,NPK_15-15-15,303.0,19.3,200.0,72.1,534.6,Medium,0.465
Rice,3.82,64.6,39.3,34.6,7.0,Urea,358.5,29.6,1273.5,65.4,4457.0,Low,0.0
Soybeans,2.21,56.9,34.9,72.7,6.58,None,0.0,18.0,742.8,90.0,-71.9,High,1.072
Wheat,2.05,82.9,29.0,65.0,6.24,Urea,219.0,19.9,202.7,77.0,874.4,Medium,0.126
Soybeans,1.91,66.0,14.2,71.1,6.0,Organic,45.4,26.5,739.2,58.9,-3.4,High,1.003
Wheat,2.06,93.2,49.8,62.9,7.43,NPK_15-15-15,185.6,28.4,1032.4,56.6,554.3,Medium,0.446
Wheat,3.3,51.7,23.4,37.1,5.91,NPK_15-15-15,203.4,29.8,991.4,83.0,811.3,Medium,0.189
Corn,0.5,76.1,23.3,75.3,5.67,Urea,362.0,19.6,1479.4,47.3,1965.1,Low,0.0
Rice,3.43,92.2,49.9,103.4,6.87,NPK_15-15-15,442.2,26.6,551.5,67.3,1954.9,Low,0.0
Rice,1.06,23.4,6.8,73.2,5.84,Urea,169.3,21.1,866.4,63.4,2055.8,Low,0.0
Corn,1.99,128.0,12.1,56.5,5.73,None,0.0,20.4,605.2,60.9,253.8,High,0.746
Vegetables,1.86,67.9,34.7,36.4,5.39,NPK_15-15-15,336.6,29.8,310.2,69.2,720.9,Medium,0.279
Rice,2.67,24.4,39.4,46.8,6.06,Urea,252.6,20.6,1159.9,67.3,2769.7,Low,0.0
Vegetables,0.92,79.0,42.3,74.1,6.34,Ammonium Nitrate,308.9,24.9,1012.1,70.5,1622.8,Low,0.0
Wheat,2.57,75.8,30.5,86.5,6.57,NPK_15-15-15,200.3,24.3,949.3,66.7,479.4,Medium,0.521
Soybeans,3.82,73.0,73.0,70.2,7.07,NPK_15-15-15,15.3,17.9,999.4,70.0,171.7,High,0.828
